X-Ray Fluorescence (XRF) Data Set from 29 Boreholes,,,,,,,,,,,,
,,,,,,,,,,,,
No.,Drill ID,Depth,Ni,Co,Fe2O3,SiO2,MgO,Cr2O3,Al2O3,MnO,CaO,Laterite Horizon
,,6,1.191,0.068,31.712,13.612,5.694,3.291,,,5.698,Saprolite
,,7,0.382,0.013,6.694,36.653,35.829,0.474,,,1.364,Saprolite
,,8,0.330,0.012,6.307,38.437,38.121,0.417,,,1.198,Saprolite
,,9,0.441,0.013,6.615,37.532,34.676,0.443,,,1.386,Saprolite
,,10,1.970,0.030,15.712,32.686,15.870,1.327,,,2.774,Saprolite
,,11,2.535,0.033,17.399,31.799,15.201,1.465,,,3.624,Saprolite
,,12,2.969,0.027,14.104,37.071,20.149,1.075,,,2.837,Saprolite
,,13,0.300,0.012,6.166,39.733,38.494,0.413,,,1.207,Bedrock
,,14,0.271,0.012,6.100,38.938,38.751,0.400,,,1.260,Bedrock
,,15,0.221,0.012,6.047,38.860,39.888,0.385,,,1.203,Bedrock
,,16,0.233,0.013,6.449,38.605,39.710,0.425,,,1.593,Bedrock
,,17,0.231,0.012,6.004,36.999,38.003,0.383,,,1.106,Bedrock
,,18,0.223,0.012,6.013,38.777,39.981,0.395,,,1.225,Bedrock
10,DDG 010,1,1.225,0.111,49.128,2.616,2.218,3.013,,,6.484,Limonite
,,2,1.223,0.115,49.475,2.103,1.385,3.017,,,6.647,Limonite
,,3,1.308,0.124,50.649,1.477,1.395,2.991,,,6.597,Limonite
,,4,1.424,0.142,48.933,1.310,1.192,3.418,,,6.310,Limonite
,,5,1.404,0.141,46.943,1.248,1.280,3.442,,,6.562,Limonite
,,6,1.427,0.163,43.147,1.273,1.310,3.889,,,7.870,Limonite
,,7,1.586,0.160,47.917,1.405,1.517,3.533,,,6.443,Limonite
,,8,1.511,0.135,49.469,1.571,1.401,3.285,,,6.475,Limonite
,,9,1.412,0.124,49.309,1.726,1.025,3.664,,,6.115,Limonite
,,10,1.134,0.155,46.707,1.654,1.056,4.377,,,6.765,Limonite
,,11,1.396,0.162,50.878,2.362,1.541,2.791,,,4.976,Limonite
,,12,1.317,0.193,49.649,1.810,1.460,2.865,,,5.191,Limonite
,,13,1.211,0.129,41.209,7.391,6.421,3.143,,,4.482,Saprolite
,,14,0.424,0.002,6.967,32.077,29.996,0.441,,,1.131,Saprolite
,,15,0.857,0.010,8.700,33.208,29.622,0.719,,,1.523,Saprolite
,,16,1.137,0.014,9.549,33.002,27.724,0.766,,,1.470,Saprolite
,,17,0.350,0.001,6.869,32.795,31.040,0.435,,,1.245,Saprolite
,,18,0.419,0.001,6.819,32.558,30.750,0.417,,,1.155,Saprolite
,,19,0.737,0.009,8.805,33.353,28.808,0.639,,,1.398,Saprolite
,,20,0.335,0.003,7.356,36.285,33.640,0.489,,,1.483,Saprolite
,,21,0.959,0.004,7.745,34.694,28.938,0.458,,,1.451,Saprolite
,,22,0.339,0.003,7.400,32.745,31.713,0.424,,,1.402,Saprolite
,,23,1.676,0.026,13.661,28.956,19.901,1.139,,,2.488,Saprolite
,,24,0.271,0.002,7.037,33.759,33.527,0.412,,,1.399,Saprolite
,,25,0.215,0.001,6.940,35.493,35.446,0.427,,,1.391,Saprolite
,,26,2.076,0.035,16.351,26.272,17.236,1.311,,,2.543,Saprolite
,,27,0.229,0.001,6.916,32.838,32.688,0.432,,,1.218,Bedrock
,,28,0.227,0.001,7.007,30.912,31.675,0.435,,,1.250,Bedrock
,,29,0.216,0.001,6.868,32.236,32.579,0.427,,,1.356,Bedrock
11,DDG 008,1,0.453,0.080,49.663,2.832,1.722,2.923,,,7.852,Limonite
,,2,0.385,0.085,58.423,0.699,0.839,1.732,,,5.268,Limonite
,,3,0.297,0.072,50.466,0.388,0.990,2.885,,,9.476,Limonite
,,4,0.544,0.079,47.133,0.793,0.903,2.796,,,8.950,Limonite
,,5,0.658,0.090,50.712,0.608,1.233,2.893,,,8.575,Limonite
,,6,0.868,0.094,52.405,0.985,1.133,2.261,,,7.665,Limonite
,,7,0.945,0.097,53.031,1.112,0.988,2.197,,,7.204,Limonite
,,8,0.974,0.109,51.786,1.217,1.105,2.231,,,7.689,Limonite
,,9,0.902,0.092,52.893,1.244,1.262,2.218,,,7.382,Limonite
,,10,0.878,0.095,52.952,1.160,1.008,2.223,,,7.502,Limonite
,,11,0.828,0.098,52.465,1.672,1.877,2.426,,,7.494,Limonite
,,12,0.870,0.098,52.611,1.072,1.100,2.307,,,7.084,Limonite
,,13,0.888,0.100,52.852,1.096,1.358,2.230,,,6.956,Limonite
,,14,0.894,0.097,53.180,1.073,1.202,2.262,,,7.155,Limonite
,,15,0.915,0.099,53.618,1.228,0.820,2.223,,,6.986,Limonite
,,16,0.922,0.102,52.630,1.564,1.583,2.323,,,6.958,Limonite
,,17,0.905,0.107,52.453,1.696,1.850,2.558,,,7.132,Limonite
,,18,0.973,0.103,53.486,1.546,1.504,2.248,,,6.673,Limonite
,,19,0.906,0.102,52.081,1.783,1.618,2.602,,,6.823,Limonite
,,20,0.946,0.105,52.567,1.694,1.473,2.527,,,6.667,Limonite
,,21,1.028,0.105,52.189,1.587,1.102,2.591,,,6.771,Limonite
,,22,1.014,0.112,51.848,1.602,1.368,2.542,,,6.882,Limonite
,,23,1.050,0.109,51.755,1.536,1.152,2.822,,,6.775,Limonite
,,24,1.087,0.108,51.721,1.678,1.192,2.879,,,6.274,Limonite
,,25,1.105,0.118,50.810,1.734,1.371,2.617,,,6.783,Limonite
,,26,1.292,0.106,52.443,1.809,1.095,2.452,,,5.779,Limonite
,,27,1.424,0.126,46.307,5.269,1.784,2.518,,,5.501,Limonite
,,28,1.394,0.115,38.975,11.468,1.971,2.450,,,5.011,Limonite
,,29,1.429,0.129,40.938,10.874,1.900,2.486,,,7.382,Limonite
,,30,0.788,0.164,27.852,28.603,1.847,2.357,,,5.492,Limonite
,,31,0.730,0.087,31.107,28.385,1.704,2.429,,,5.538,Limonite
,,32,0.836,0.079,31.881,23.401,3.961,2.938,,,5.849,Limonite
,,33,0.694,0.054,21.780,36.697,3.752,1.474,,,4.405,Saprolite
,,34,0.964,0.052,21.458,36.234,3.570,1.635,,,3.515,Saprolite
,,35,2.065,0.058,23.526,26.282,6.800,2.334,,,3.590,Saprolite
,,36,0.517,0.006,8.208,33.147,29.615,0.547,,,1.947,Saprolite
,,37,2.365,0.045,18.915,32.611,13.221,1.326,,,3.182,Saprolite
,,38,2.575,0.030,14.420,35.092,11.891,1.024,,,2.255,Saprolite
,,39,2.250,0.029,14.055,35.706,15.889,0.928,,,2.462,Saprolite
,,40,1.415,0.026,13.454,39.349,12.734,0.862,,,2.539,Saprolite
,,41,1.585,0.023,12.610,39.513,15.859,0.864,,,2.712,Saprolite
,,42,2.478,0.041,17.207,34.259,9.932,1.091,,,3.085,Saprolite
,,43,1.865,0.026,13.732,35.359,10.687,0.925,,,2.503,Saprolite
